file,RandomForest(before preprocessing),KNN,RandomForest(after preprocessing)
jspwiki-2.8.0_aggregated.csv,-1.0,0.9354283254412398,-1.0
jspwiki-2.9.0_aggregated.csv,-1.0,-1.0,-1.0
knox-0.10.0_aggregated.csv,0.9111867668282574,0.8807609009810009,0.8844329994033224
knox-0.11.0_aggregated.csv,0.8875361992858549,0.8875361992858549,0.8875361992858549
knox-0.12.0_aggregated.csv,0.9000771626355204,0.9713573349773312,0.9474803707885824
knox-0.13.0_aggregated.csv,0.8828326381403198,0.92089024840462,0.9269634655024104
knox-0.14.0_aggregated.csv,0.8909463674234989,0.9293908311640628,0.9760888946579176
knox-0.3.0_aggregated.csv,0.370912950482784,0.4210409060142214,0.4681097712326488
knox-0.4.0_aggregated.csv,0.6006427114623555,0.575104838262733,0.7198086969724157
knox-0.5.0_aggregated.csv,0.5559952073600324,0.39193098518365616,0.503205570507861
knox-0.6.0_aggregated.csv,0.3248155299572919,0.2383901121276272,0.3173156204413231
knox-0.7.0_aggregated.csv,0.8143511334101317,0.8383380674333833,0.8162544169611308
knox-0.8.0_aggregated.csv,0.8723526939083625,0.8417683964018133,0.9642322222967384
knox-0.9.0_aggregated.csv,0.8846488174443945,0.935961510083278,0.9394970097054688
knox-1.0.0_aggregated.csv,0.686110384514779,0.6402949581343299,0.7012984731080772
kylin-0.6.1_aggregated.csv,-1.0,0.7709894527920202,-1.0
kylin-0.7.1_aggregated.csv,0.6876098246710141,0.7320845496508727,0.7674745831832848
kylin-1.0_aggregated.csv,0.788598746006198,0.8477340929710251,0.832323950128352
kylin-1.1_aggregated.csv,0.9594328166877164,1.0,0.9790557548894996
kylin-1.2_aggregated.csv,0.9599622043208788,0.9794183099859788,0.9414656988995552
kylin-1.3_aggregated.csv,0.8922440886902987,0.9412424288421328,0.9807428633051408
kylin-1.5.0_aggregated.csv,0.5592962566105562,0.5590237168548805,0.5804166644949103
kylin-1.6.0_aggregated.csv,0.7284405699730704,0.8261280306246496,0.7443125168055462
kylin-2.0.0_aggregated.csv,0.7419695628338866,0.8163216480630167,0.7898819631028019
kylin-2.1.0_aggregated.csv,0.7516777396219244,0.8131240322494527,0.7970423535706707
kylin-2.2.0_aggregated.csv,0.7759447662357061,0.8404483963186753,0.8085709403030218
lens-2.6.0_aggregated.csv,0.7176953676376235,0.7294591889186484,0.8300764655904843
lens-2.7.0_aggregated.csv,-1.0,-1.0,-1.0
mahout-0.10.0_aggregated.csv,0.9365464115409388,0.948670435967652,0.9365464115409388
mahout-0.11.0_aggregated.csv,0.9869013365002992,1.0,0.9869013365002992
mahout-0.12.0_aggregated.csv,-1.0,-1.0,-1.0
mahout-0.13.0_aggregated.csv,-1.0,-1.0,-1.0
mahout-0.1_aggregated.csv,0.17243915895298226,-0.1623668163237955,0.17243915895298226
mahout-0.2_aggregated.csv,0.5943387721986838,0.6276523723863131,0.6337024290107677
mahout-0.3_aggregated.csv,0.6967528292961026,0.7847999049020531,0.6846666066031631
mahout-0.4_aggregated.csv,0.4357745487855877,0.4220898548887903,0.4460954122632717
mahout-0.5_aggregated.csv,0.5229379235142924,0.5359084464662743,0.4673213210431239
mahout-0.6_aggregated.csv,0.6011509937214776,0.6136023125379436,0.5952107417247074
mahout-0.7_aggregated.csv,0.6878966313643079,0.6645220037621461,0.6890906556851739
mahout-0.8_aggregated.csv,0.7185097908326681,0.7296901573428543,0.731925204186091
mahout-0.9_aggregated.csv,0.8540928362388499,0.8431118246617753,0.8518526959960342
manifoldcf-0.1_aggregated.csv,0.8648413664458812,0.8788594618331592,0.8769564641749031
manifoldcf-0.2_aggregated.csv,0.9215202491525564,0.93407151263025,0.9436283605717964
manifoldcf-0.3_aggregated.csv,0.9223247953376048,0.9737284042430648,0.9522599920831154
manifoldcf-0.4_aggregated.csv,0.9595447058900118,0.9298643144236736,0.9725449210849516
manifoldcf-0.5_aggregated.csv,0.9614100998482544,0.9511597921360754,0.9743810009503048
manifoldcf-0.6_aggregated.csv,0.8615435456433893,0.8725799966221678,0.8852655987564976
manifoldcf-1.0_aggregated.csv,0.9444365638786676,0.9630980466333928,0.9519828763549832
manifoldcf-1.10_aggregated.csv,0.9878685810521508,0.9931139699187601,1.0
manifoldcf-1.1_aggregated.csv,0.8938495234433328,0.8903547025372919,0.8842680877142685
manifoldcf-1.2_aggregated.csv,0.9139629751076448,0.8769070000105447,0.9199413611316534
manifoldcf-1.3_aggregated.csv,0.9479405654789218,0.9213934118246322,0.9633495647251776
manifoldcf-1.4_aggregated.csv,0.8891482713388089,0.8974985571174731,0.917963610158786
manifoldcf-1.5_aggregated.csv,0.9493061361880512,0.9659018364386868,0.9917626523600412
manifoldcf-1.6_aggregated.csv,0.946073204854028,0.9081082715285216,0.9693936889786674
manifoldcf-1.7_aggregated.csv,0.9123574825922859,0.9119325719640732,0.9348909448271854
manifoldcf-1.8_aggregated.csv,0.9930118915244308,0.98528384699861,0.9931211265063358
manifoldcf-1.9_aggregated.csv,1.0,0.9804906432098026,1.0
manifoldcf-2.0_aggregated.csv,0.9408705659425955,0.919321345829968,0.9562284632719072
manifoldcf-2.10_aggregated.csv,1.0,1.0,1.0
manifoldcf-2.1_aggregated.csv,0.9457291729178136,0.917465541863728,0.9525361993097908
manifoldcf-2.2_aggregated.csv,0.9717029374372159,0.9512249233395152,0.9781266452156941
manifoldcf-2.3_aggregated.csv,0.9236684413309234,0.9191162534001504,0.9449621508032324
manifoldcf-2.4_aggregated.csv,0.9720082015969319,0.9666622627927391,0.9719307531680657
manifoldcf-2.5_aggregated.csv,1.0,0.9933292534718148,1.0
manifoldcf-2.6_aggregated.csv,0.9937820937232474,0.9876216303756938,0.9937681906514884
manifoldcf-2.7_aggregated.csv,1.0,0.987928940458106,1.0
manifoldcf-2.8_aggregated.csv,0.9292569622939608,0.9278647044521098,0.9395324650195308
manifoldcf-2.9_aggregated.csv,0.988595357584787,0.99396268334576,0.988595357584787
nutch-0.7_aggregated.csv,-1.0,0.3191221913790394,0.7069630097153032
nutch-0.8_aggregated.csv,0.4721330224783355,0.5712371594461813,0.5390288875230486
nutch-0.9_aggregated.csv,0.5582908801790394,0.6224770003101082,0.6408839779005524
nutch-1.0_aggregated.csv,0.64621568713337,0.7326219706583463,0.7584087187609052
nutch-1.10_aggregated.csv,0.7988968053321076,0.7552568783014827,0.7620960920318051
nutch-1.11_aggregated.csv,0.8902171261283239,0.9121823562644716,0.9447806410967567
nutch-1.12_aggregated.csv,0.6803190996623371,0.7116973265471319,0.7933291233710317
nutch-1.13_aggregated.csv,0.7029004345081146,0.6973762521057569,0.7226694327689476
nutch-1.14_aggregated.csv,0.928906583250391,0.944951502273503,0.9465157698252672
nutch-1.1_aggregated.csv,0.8382702245779662,0.9689655921520188,0.8864537183253185
